연도,기업규모,기업명
2023,소,(주)디케이비엠시
2023,소,(주)클루커스
2023,소,주식회사 올림플래닛
2023,소,주식회사 파두
2023,소,주식회사 한울씨앤비
2023,소,오픈엣지테크놀로지(주)
2023,소,㈜엑스바디
2023,소,㈜티오더
2023,소,유닉솔루션㈜
2023,소,주식회사 에이케이무역
2023,소,SNU서울병원
2023,소,(주)라이트하우스코스메틱
2023,소,마드라스체크 주식회사
2023,소,프라임방재㈜
2023,소,오케스트로주식회사
2023,소,(주)원티드랩
2023,소,주식회사링키지랩
2023,소,위더맥스 주식회사
2023,소,주식회사 서경산업
2023,소,(주)듀켐바이오
2023,소,메타빌드㈜
2023,소,주식회사 에스엠엘메디트리
2023,소,(주)하나기술
2023,소,주식회사 라이온하트스튜디오
2023,소,(주)프리뉴
2023,소,투바이트 주식회사
2023,소,예스이앤씨주식회사
2023,소,주식회사 센트럴바이오
2023,소,온누리메디칼의원
2023,소,㈜피플앤스토리
2023,소,(주)비트리플
2023,소,주식회사 피앤오케미칼
2023,소,포스코플로우㈜
2023,소,유한회사 하나산업
2023,소,㈜리얼커머스
2023,소,㈜서북
2023,소,티이엠씨㈜
2023,소,에이치그린파워(주)
2023,중,주식회사 이노션
2023,중,(주)종합건축사사무소 동일건축
2023,중,(주)태웅로직스
2023,중,주식회사 현대아이티앤이
2023,중,주식회사 넥슨게임즈
2023,중,㈜비상교육
2023,중,㈜글로텍엔지니어링
2023,중,넷마블에프앤씨㈜
2023,중,㈜천재교과서
2023,중,㈜해우지엘에스
2023,중,푸본현대생명보험주식회사
2023,중,알서포트주식회사
2023,중,(주)토문엔지니어링건축사사무소
2023,중,SK E&S(주)
2023,중,(주)제일엔지니어링종합건축사사무소
2023,중,크리스챤디올꾸뛰르코리아(주)
2023,중,잡코리아 유한책임회사
2023,중,주식회사 지씨셀
2023,중,대보정보통신㈜
2023,중,버슘머트리얼즈코리아주식회사
2023,중,주식회사조흥
2023,중,한국알박㈜
2023,중,㈜한승항만물류산업
2023,중,대우여객자동차(주)
2023,중,㈜피엔티
2023,중,(주)메가젠임플란트
2023,중,엔브이에이치코리아(주)
2023,중,㈜광주글로벌모터스
2023,중,종근당건강㈜
2023,중,㈜포스코모빌리티솔루션
2023,중,하나머티리얼즈㈜
2023,중,와이엠씨㈜
2023,중,하나마이크론㈜
2023,대,(주)금화피에스시
2023,대,(주)해안종합건축사사무소
2023,대,(주)크래프톤
2023,대,(주)엘지에너지솔루션
2023,대,㈜엘지씨엔에스
2023,대,주식회사무신사
2023,대,주식회사 우아한형제들
2023,대,씨제이올리브네트웍스 주식회사
2023,대,삼일회계법인
2023,대,(주)DHL코리아
2023,대,씨제이제일제당㈜
2023,대,롯데카드㈜
2023,대,주식회사 에스씨케이컴퍼니
2023,대,(주)신세계아이앤씨
2023,대,도쿄일렉트론코리아 주식회사
2023,대,에이에스엠엘코리아 유한회사
2023,대,LIG넥스원㈜
2023,대,어플라이드 머티어리얼즈 코리아㈜
2023,대,㈜오뚜기
2023,대,㈜건화
2023,대,삼성바이오로직스 주식회사
2023,대,㈜원익큐엔씨
2023,대,경창산업(주)
2023,대,(주)엘앤에프
2023,대,주식회사에스텍세이프
2023,대,메가존클라우드 주식회사
2023,대,유한회사스태츠칩팩코리아
2023,대,한화시스템㈜
2023,대,에스케이쉴더스 주식회사
